Date,Open,High,Low,Close,Adj Close,Volume
2020-12-18,0.185713,0.186431,0.160824,0.177109,0.177109,1311635
2020-12-19,0.176414,0.177320,0.149160,0.155771,0.155771,1367793
2020-12-20,0.155769,0.156748,0.145117,0.150283,0.150283,884004
2020-12-21,0.150316,0.158125,0.136458,0.151432,0.151432,443120
2020-12-22,0.151019,0.151019,0.133927,0.138041,0.138041,793918
2020-12-23,0.138642,0.152642,0.126026,0.138096,0.138096,1247492
2020-12-24,0.136443,0.162024,0.130410,0.148059,0.148059,1086894
2020-12-25,0.147457,0.154324,0.143006,0.144560,0.144560,401699
2020-12-26,0.144509,0.159187,0.143025,0.145950,0.145950,530590
2020-12-27,0.145993,0.149836,0.138551,0.143670,0.143670,434462
2020-12-28,0.143501,0.167693,0.143442,0.153880,0.153880,602148
2020-12-29,0.153588,0.163684,0.138703,0.159961,0.159961,538185
2020-12-30,0.159951,0.170946,0.150770,0.153545,0.153545,532044
2020-12-31,0.153580,0.164145,0.147839,0.157466,0.157466,553475
2021-01-01,0.158172,0.167599,0.154272,0.165518,0.165518,519820
2021-01-02,0.165564,0.165843,0.143757,0.152927,0.152927,19539
2021-01-03,0.153116,0.155745,0.136093,0.146879,0.146879,1017675
2021-01-04,0.146404,0.160559,0.138569,0.156691,0.156691,981088
2021-01-05,0.156926,0.174776,0.146919,0.167845,0.167845,1072438
2021-01-06,0.167663,0.231752,0.163598,0.205038,0.205038,2330496
2021-01-07,0.204924,0.383929,0.202376,0.362755,0.362755,8606541
2021-01-08,0.366976,0.606228,0.312797,0.565112,0.565112,32448532
2021-01-09,0.562240,0.779968,0.513527,0.513529,0.513529,22522165
2021-01-10,0.507435,0.578007,0.375280,0.529024,0.529024,12987452
2021-01-11,0.525964,0.632860,0.399476,0.518433,0.518433,11767709
2021-01-12,0.518344,0.715905,0.493344,0.643577,0.643577,3116
2021-01-13,0.644386,0.871323,0.613811,0.698887,0.698887,19145737
2021-01-14,0.700377,1.169883,0.687034,0.999623,0.999623,35605380
2021-01-15,1.010047,1.414620,1.010047,1.221940,1.221940,39750455
2021-01-16,1.220972,1.378658,1.110754,1.175046,1.175046,16814354
2021-01-17,1.187837,1.197531,0.989948,1.168018,1.168018,13338930
2021-01-18,1.168853,1.280723,1.068307,1.194443,1.194443,10161200
2021-01-19,1.194073,1.207022,1.080700,1.119482,1.119482,7047905
2021-01-20,1.119414,1.167414,0.966545,1.156012,1.156012,9851509
2021-01-21,1.160669,1.166523,0.801081,0.824103,0.824103,10743804
2021-01-22,0.820456,1.162080,0.710571,1.079867,1.079867,17302552
2021-01-23,1.082428,1.082428,0.947136,0.964465,0.964465,7580827
2021-01-24,0.964636,0.992058,0.908249,0.932829,0.932829,5044262
2021-01-25,0.940467,1.011743,0.913970,0.971292,0.971292,4878137
2021-01-26,0.972065,1.007285,0.904116,0.927425,0.927425,5534906
2021-01-27,0.927293,1.093636,0.890583,1.018656,1.018656,10436366
2021-01-28,1.028224,1.063285,0.998462,1.038683,1.038683,10701686
2021-01-29,1.100527,2.370563,1.022510,1.741265,1.741265,75154013
2021-01-30,1.739524,3.078682,1.557410,2.842832,2.842832,122735099
2021-01-31,2.863639,3.387254,2.335438,2.707087,2.707087,61550296
2021-02-01,2.722486,2.980112,2.433797,2.765328,2.765328,22715426
2021-02-02,2.776350,2.847423,2.440673,2.731832,2.731832,19040318
2021-02-03,2.686750,2.751729,2.355398,2.405748,2.405748,15802008
2021-02-04,2.419405,2.742995,2.167011,2.607208,2.607208,22411239
2021-02-05,2.627427,2.714641,2.468998,2.549851,2.549851,10904688
2021-02-06,2.550936,2.578073,2.257394,2.284631,2.284631,11783334
2021-02-07,2.293578,2.480967,2.156413,2.378895,2.378895,12729390
