Date,Open,High,Low,Close*,Adj Close**,Volume
15-Sep-21,12.25,12.25,11.64,11.85,11.85,"751,200"
14-Sep-21,12.4,13.27,11.74,11.85,11.85,"786,100"
13-Sep-21,13.25,13.7,12.24,12.74,12.74,"695,600"
10-Sep-21,14.33,14.33,13.24,13.29,13.29,"524,600"
9-Sep-21,13.75,14.4,13.7,13.85,13.85,"399,400"
8-Sep-21,14.42,15,13.5,13.86,13.86,"520,300"
7-Sep-21,16,16.11,14.75,15.01,15.01,"501,400"
3-Sep-21,15.7,15.96,14.87,15.85,15.85,"493,300"
2-Sep-21,16.27,16.27,14.93,15.4,15.4,"485,100"
1-Sep-21,15.05,15.5,14.33,15.35,15.35,"374,400"
31-Aug-21,13.95,14.9,13.5,14.9,14.9,"481,400"
30-Aug-21,14.14,14.4,13.59,13.91,13.91,"246,200"
27-Aug-21,13.95,14.49,13.59,14.16,14.16,"384,800"
26-Aug-21,14.75,14.75,13.95,14.1,14.1,"298,100"
25-Aug-21,14.95,15.18,14.54,14.67,14.67,"262,200"
24-Aug-21,15.72,15.72,14.57,14.75,14.75,"248,700"
23-Aug-21,15.49,15.55,14.52,14.65,14.65,"515,700"
20-Aug-21,13.95,14.68,13.82,14.1,14.1,"332,700"
19-Aug-21,13.64,14.48,13.6,13.65,13.65,"601,500"
18-Aug-21,13.2,15.01,13.2,14.99,14.99,"484,100"
17-Aug-21,14.5,15.35,13.51,14.15,14.15,"620,200"
16-Aug-21,15.6,16.03,15,15,15,"387,000"
13-Aug-21,14.96,16.19,14.96,15.59,15.59,"560,800"
12-Aug-21,15.5,15.59,14.43,15,15,"437,600"
11-Aug-21,16.28,17.2,15.3,15.6,15.6,"415,200"
10-Aug-21,17.5,18.12,16.49,16.53,16.53,"421,400"
9-Aug-21,17.52,17.52,16.99,17.35,17.35,"543,900"
6-Aug-21,15.95,16.74,15.9,16.67,16.67,"696,200"
5-Aug-21,14.58,16.35,14.58,15.89,15.89,"770,600"
4-Aug-21,13.6,15.59,13.55,15.4,15.4,"964,600"
3-Aug-21,14,14.72,13.59,13.77,13.77,"331,400"
2-Aug-21,12.18,14.15,12.18,13.74,13.74,"312,100"
30-Jul-21,14.36,14.53,13.55,13.58,13.58,"268,600"
29-Jul-21,14.6,14.8,14.15,14.36,14.36,"202,700"
28-Jul-21,14.07,14.65,14.06,14.29,14.29,"294,200"
27-Jul-21,15,15,13.1,13.65,13.65,"555,500"
26-Jul-21,14.49,15,14.44,14.78,14.78,"876,500"
23-Jul-21,12.9,13.5,12.5,13.48,13.48,"274,600"
22-Jul-21,13.51,13.65,12.5,12.55,12.55,"472,100"
21-Jul-21,12,13.77,11.75,12.78,12.78,"1,268,400"
20-Jul-21,11.5,11.6,10.78,11.01,11.01,"941,400"
19-Jul-21,11.4,11.72,10.01,11.39,11.39,"2,081,900"
16-Jul-21,11.85,12.66,11.33,11.5,11.5,"2,028,800"
15-Jul-21,13.5,14,11.33,11.67,11.67,"2,106,600"
14-Jul-21,15.24,15.48,12.86,13.35,13.35,"1,397,700"
13-Jul-21,15.6,16,15,15.24,15.24,"582,200"
12-Jul-21,15.88,16.55,15.74,16.03,16.03,"231,300"
9-Jul-21,16.09,16.5,15.39,16.24,16.24,"536,700"
8-Jul-21,15.86,15.86,15.18,15.39,15.39,"803,700"
7-Jul-21,17.31,17.31,15.95,16.12,16.12,"469,700"
6-Jul-21,16.2,16.92,16.05,16.75,16.75,"412,800"
2-Jul-21,16.35,17.09,16.35,16.65,16.65,"337,200"
1-Jul-21,16.91,17.19,16.29,16.63,16.63,"496,900"
30-Jun-21,15.51,17.08,15.51,17.07,17.07,"569,400"
29-Jun-21,16.13,17.1,16.03,16.6,16.6,"623,600"
28-Jun-21,16.24,16.65,15.9,16,16,"348,400"
25-Jun-21,16.75,16.75,15.51,15.86,15.86,"525,900"
24-Jun-21,16.03,16.85,15.6,16.8,16.8,"590,800"
23-Jun-21,15.66,15.99,15.53,15.53,15.53,"366,800"
22-Jun-21,15.08,15.4,14.01,15.3,15.3,"1,736,100"
21-Jun-21,15,15.75,14.95,15.65,15.65,"1,362,200"
18-Jun-21,16.35,17.22,15.6,15.89,15.89,"720,300"
17-Jun-21,16.17,16.64,15.59,16.3,16.3,"515,100"
16-Jun-21,16.65,16.8,15.7,15.88,15.88,"931,100"
15-Jun-21,16.89,17.15,16.48,16.58,16.58,"481,600"
14-Jun-21,17.85,18.3,16.59,16.98,16.98,"718,800"
11-Jun-21,18.15,18.32,16.89,17.18,17.18,"388,700"
10-Jun-21,17.26,18.12,16.93,17.83,17.83,"605,000"
9-Jun-21,17.15,17.66,16.2,17.09,17.09,"901,700"
8-Jun-21,16.56,17.93,15.97,16.45,16.45,"2,587,200"
7-Jun-21,19.5,19.5,18.05,18.28,18.28,"364,700"
4-Jun-21,18.32,19.39,18.01,19.38,19.38,"772,300"
3-Jun-21,19.44,19.7,18.82,18.9,18.9,"594,200"
2-Jun-21,20.37,20.38,19.49,19.6,19.6,"422,100"
1-Jun-21,20,20.6,19.35,19.44,19.44,"614,100"
28-May-21,20.62,21.21,19.42,19.49,19.49,"655,100"
27-May-21,20.2,21.35,19.5,21.21,21.21,"905,600"
26-May-21,19.85,21.74,19.75,20.15,20.15,"1,244,000"
25-May-21,18.47,19.46,16.49,19.08,19.08,"807,900"
24-May-21,17,18.71,17,18.5,18.5,"498,100"
21-May-21,18.71,19.5,16.75,16.75,16.75,"736,800"
20-May-21,17.48,18.4,17.2,18.23,18.23,"678,800"
19-May-21,16,16.97,15.2,16.8,16.8,"1,736,900"
18-May-21,18.4,18.89,17.9,18.32,18.32,"451,100"
17-May-21,18.11,18.8,16.97,18.05,18.05,"910,900"
14-May-21,17.91,19,17.75,18.5,18.5,"1,108,900"
13-May-21,17.31,19.93,16,16.42,16.42,"2,061,400"
12-May-21,20.05,20.98,18.17,18.38,18.38,"1,034,600"
11-May-21,18.79,20.4,17.55,20.01,20.01,"1,041,100"
10-May-21,21.65,23,19.9,19.98,19.98,"1,141,300"
7-May-21,21.99,22.19,20.02,21.03,21.03,"635,100"
6-May-21,22.76,23.38,20.5,21.25,21.25,"728,100"
5-May-21,23.81,23.9,21.8,22.7,22.7,"761,900"
4-May-21,22.96,23.29,20.49,21.98,21.98,"1,031,700"
3-May-21,22.75,24.6,22.75,23.3,23.3,"1,133,100"
30-Apr-21,19.71,22.97,19.02,22.5,22.5,"925,500"
